Index,Holiday Name,Celebrations
0,First Winter Nadir,"getting rid of our Christmas tree, preparing our taxes, and cleaning out our filing cabinets."
1,Winter Cross Quarter,getting tight on rum and watching The Rocky Horror Picture Show.
2,Second Winter Nadir,making dental appointments.
3,Vernal Equinox,eating eggs benedict and jousting peeps in the microwave.
4,First Spring Nadir,giving away clothes that don't fit or that we don't wear.
5,Spring Cross Quarter,singing Solidarity Forever and going out for a nice dinner.
6,Second Spring Nadir,getting rid of things we wouldn't want to move with.
7,Summer Solstice,putting up paper lanterns and watching a production of A Midsummer Night's Dream.
8,First Summer Nadir,evaluating family finances.
9,Summer Cross Quarter,making fancy cheese boards with bread and wine pairings.
10,Second Summer Nadir,making dental appointments.
11,Autumnal Equinox,"eating raw oysters, black and white cookies, or drinking egg cremes."
12,First Autumn Nadir,updating resumes and CVs.
13,AutumnCrossQuarter,eating quince cobbler.
14,Second Autumn Nadir,setting up our Christmas tree.
15,Winter Solstice,setting something on fire then eating or drinking it.
